,title,artist
0,The Next Episode ,Dr. Dre
1,Stay Alive ,Jung Kook
2,Still D.R.E. ,Dr. Dre
3,Lose Yourself,Eminem
4,Family Affair,Mary J. Blige
5,California Love ,2Pac
6,Forgot About Dre ,Dr. Dre
7,Nuthin' but a G thang ,Dr. Dre
8,The Joker And The Queen ,Ed Sheeran
9,In da Club,50 Cent
10,We Don't Talk About Bruno,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto - Cast"
11,On My Way ,Jennifer Lopez
12,Lose Yourself,Eminem
13,No More Drama,Mary J. Blige
14,The Next Episode ,Dr. Dre
15,In da Club,50 Cent
16,abcdefu,GAYLE
17,Numb Little Bug,Em Beihold
18,The Real Slim Shady,Eminem
19,MAMIII,Becky G. & KAROL G
20,Good Morning Gorgeous,Mary J. Blige
21,Gin and Juice ,Snoop Dogg
22,Surface Pressure,Jessica Darrow
23,Suga Suga,Baby Bash
24,Cold Heart ,Elton John & Dua Lipa
25,Shivers,Ed Sheeran
26,Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell
27,Unstoppable,Sia
28,'Til You Can't,Cody Johnson
29,Without Me,Eminem
30,Still D.R.E. ,Dr. Dre
31,AA,Walker Hayes
32,Bussin,Nicki Minaj & Lil Baby
33,Real Love,Mary J. Blige
34,Easy On Me,Adele
35,In Jesus Name ,Katy Nichole
36,Ghost,Justin Bieber
37,Love's Train,"Bruno Mars, Anderson .Paak & Silk Sonic"
38,Heat Waves,Glass Animals
39,Love the Way You Lie ,Eminem
40,Oh My God,Adele
41,Sand In My Boots,Morgan Wallen
42,Hrs and Hrs,Muni Long
43,Big Energy,Latto
44,THATS WHAT I WANT,Lil Nas X
45,Who Am I ?,Snoop Dogg
46,Showdown,Electric Light Orchestra
47,Alright,Kendrick Lamar
48,Not Afraid,Eminem
49,Buy Dirt ,Jordan Davis
50,Fancy Like,Walker Hayes
51,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto - Cast"
52,Flower Shops,ERNEST & Morgan Wallen
53,You Should Probably Leave,Chris Stapleton
54,Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic"
55,Marry Me ,Jennifer Lopez & Maluma
56,Drop It Like It's Hot ,Snoop Dogg
57,Keep On Rollin,King George
58,California Love,2Pac featuring Dr. Dre & Roger Troutman
59,Love of My Life ,Jennifer Lopez
60,Easy,The Commodores
61,Doin' This,Luke Combs
62,'Till I Collapse ,Eminem
63,Nuthin' but a G Thang ,Dr. Dre
64,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz
65,Lose Yourself,Eminem
66,m.A.A.d city ,Kendrick Lamar
67,Drunk ,Elle King & Miranda Lambert
68,Woke Up This Morning ,Alabama 3
69,The Monster ,Eminem
70,One In A Million,Aaliyah
71,Drop It Like It's Hot ,Snoop Dogg & Pharrell Williams
72,The Motto,Tiësto & Ava Max
73,Enemy ,"Imagine Dragons, JID & League of Legends"
74,In the Air Tonight,State of Mine
75,Tennessee Whiskey,Chris Stapleton
76,Do We Have A Problem?,Nicki Minaj & Lil Baby
77,Sus Huellas,Romeo Santos
78,I'll Be Around,The Spinners
79,"Can't Get Enough of Your Love, Babe",Barry White
80,"After Love, Pt. 1",Jennifer Lopez
81,Waiting On A Miracle,Stephanie Beatriz
82,Growing Old With You,Restless Road
83,Broadway Girls ,Lil Durk
84,When I'm Gone,Alesso & Katy Perry
85,Shake That ,Eminem
86,Candy Shop ,50 Cent
87,Boyfriend,Dove Cameron
88,Woke up This Morning ,Alabama 3
89,Fingers Crossed,Lauren Spencer-Smith
90,23,Sam Hunt
91,Bad Habits,Ed Sheeran
92,God's Country,State of Mine & Drew Jacobs
93,I Ain't Mad At Cha ,2Pac
94,California Love  [Remix],2Pac
95,HUMBLE.,Kendrick Lamar
96,Do It To It ,Acraze
97,Marry Me ,Jennifer Lopez & Maluma
98,Perfect,Ed Sheeran
99,To Be Loved By You,Parker McCollum
